"","id","Place","desc","coords"
"1",775,"Africa, Africa (region) ","The region of modern North Africa to which the Romans referred as ""Africa"", effectively the majority of same with the exception of Egypt, later truncated to correspond to the Roman province of the same name.","[5.0, 30.0]"
"2",845,"Atlanticus Oceanus ","Atlanticus Oceanus (The Atlantic Ocean) likely derives its name from Atlas, one of the Titans of Greek mythology. The Atlantic Ocean covers ca. 20% of the surface of the Earth.","[-19.665682, 31.937048]"
"3",846,"Atlas, Atlas (mountains) ","A major mountain range, located in northwest Africa (primarily modern Morocco).","[-8.1, 31.0]"
"4",1027,"Hispania ","An ancient region corresponding to the Iberian peninsula and so roughly to the territories of the modern countries of Spain and Portugal.","[-10.0, 40.0]"
"5",1094,"Lampedusa ","The largest of the Pelagie Islands in the Mediterranean Sea, Lopadusa has long served as a maritime base beginning with Punic occupation in the first millennium BC.","[12.6273214, 35.5060629]"
"6",1101,"Lusitania, Lusitania (region) ","An ancient region that took its name from an Iberian people (the ""Lusitani""), who originally occupied an area between the Tagus and Durius rivers. The Romans applied the name to the later, much larger, province.","[-8.53188087376984, 37.506377674726174]"
"7",1224,"Pontus Euxinus ","The Black Sea.","[34.7425505, 43.0786852]"
"8",1224,"Black Sea ","The Black Sea.","[34.7425505, 43.0786852]"
"9",1224,"Pontus Euxinus, Pontike Thalatta ","The Black Sea.","[34.7425505, 43.0786852]"
"10",1224,"Pontus Euxinus ","The Black Sea.","[34.7425505, 43.0786852]"
"11",1224,"Black Sea ","The Black Sea.","[34.7425505, 43.0786852]"
"12",1224,"Pontus Euxinus, Pontike Thalatta ","The Black Sea.","[34.7425505, 43.0786852]"
"13",1224,"Pontus Euxinus ","The Black Sea.","[34.7425505, 43.0786852]"
"14",1224,"Black Sea ","The Black Sea.","[34.7425505, 43.0786852]"
"15",1224,"Pontus Euxinus, Pontike Thalatta ","The Black Sea.","[34.7425505, 43.0786852]"
"16",1273,"Scythia ","An ancient region, located roughly north of the modern Danube river and west of the Don.","[27.94833710491281, 46.10177479068011]"
"17",1306,"Syria ","An ancient place, cited: BAtlas 1 K3 Syria","[35.0, 35.0]"
"18",20406,"Balline ","An ancient place, cited: BAtlas 2 B3 Balline","[-8.457122, 52.397981]"
"19",20407,"Balenthin ","A ""princely burial"" at modern Białęcino (formerly Balenthin) in Poland dated to the early Roman imperial period by virtue of coins found deposited with the burial.","[16.65446, 54.25482]"
"20",20419,"Britannia, Britannia/Albion (island) ","The island of Great Britain is located to the northwest of continental Europe and is the ninth largest island in the world.","[-2.422, 53.826]"
"21",20419,"Great Britain ","The island of Great Britain is located to the northwest of continental Europe and is the ninth largest island in the world.","[-2.422, 53.826]"
"22",20419,"Britannia, Britannia/Albion (island) ","The island of Great Britain is located to the northwest of continental Europe and is the ninth largest island in the world.","[-2.422, 53.826]"
"23",20419,"Great Britain ","The island of Great Britain is located to the northwest of continental Europe and is the ninth largest island in the world.","[-2.422, 53.826]"
"24",20420,"la Manche ","Britannicum Mare (The English Channel) is an extension of the Atlantic Ocean that separates England from northern France, and also joins the North Sea to the Atlantic.","[-2, 50]"
"25",20432,"Warmhof ","An ancient place, cited: BAtlas 2 G3 Ciepłe","[18.839981, 53.852747]"
"26",20468,"Barbaricum ","An ancient place, cited: BAtlas 2 E3 Germania","[5.0, 50.0]"
"27",20517,"Kurmaičiai ","An ancient place, cited: BAtlas 2 H2 Kurmaičiai","[21.272774, 55.938931]"
"28",20519,"Lachmirowice ","An ancient place, cited: BAtlas 2 G3 Lachmirowice","[18.319454, 52.60422]"
"29",20578,"Povarovka ","An ancient place, cited: BAtlas 2 H3 Povarovka","[20.009176, 54.835867]"
"30",20593,"Sargenai ","An ancient place, cited: BAtlas 2 H2 Sargenai","[23.885832, 54.948346]"
"31",20594,"Sarmaticus Oceanus ","Sarmaticus Oceanus (The Baltic Sea)","[18.0, 56.0]"
"32",20618,"Baltic Sea ","The Baltic Sea.","[20, 58]"
"33",29457,"Alexandria ","An ancient place, cited: BAtlas 3 H3 Alexandria","[62.191888, 34.33733]"
"34",29475,"Arabia, Arabia (region) ","The Arabian peninsula.","[42.60345034105348, 26.905459908823204]"
"35",29503,"Barna ","An ancient place, cited: BAtlas 3 H4 Barna","[62.331697, 25.227074]"
"36",29547,"Sarangai ","A region located around Lake Hāmūn and the Helmand river in modern Sīstān.","[60.54955915473901, 31.347586050148003]"
"37",29573,"Gedrosia ","Gedrosia was a mountainous region covering parts of what is today southeastern Iran and southwestern Pakistan.","[62.60832718273457, 26.479873935557123]"
"38",29640,"Lakh-mazar ","Lakh-mazar is a toponym applied to gorges with rock-cut inscriptions located near Kuč, Iran.","[59.436502, 32.684617]"
"39",29713,"Persian Gulf ","The Persian Gulf is located in Western Asia between Persia and the Arabian Peninsula.","[50.9999999, 27.0000001]"
"40",29743,"Sarapias, Sarapis, Sarapi(a)s (island) ","Masirah (or Mazeira) is an Island off the east coast of Oman.","[58.6877378, 20.4106733]"
"41",29744,"Sard-Kerman ","An ancient place, cited: BAtlas 3 G4 Sard-Kerman","[55.0, 25.0]"
"42",29746,"Sarnios, Sarnios (river) ","The Sarnios corresponds to the lower course of the modern Hari/Tejen river in Turkmenistan, from around its junction with the Kashafrud river to the Tejand Oasis beyond which it disperses into the Karakum Desert.","[60.5938952, 37.2841777]"
